,numerical_rating
29278,10
26134,10
13616,11
51604,8
19417,10
11107,10
19944,10
1137,10
16190,7
32619,11
3201,8
17644,11
22688,11
53895,10
14192,11
23514,6
53608,10
28727,11
34727,10
20247,11
12967,7
10816,10
27692,11
34013,10
48081,11
21885,10
9533,8
2708,11
16417,10
14509,7
21511,10
28772,11
29712,7
24741,9
5058,7
4803,8
17046,11
41756,8
2601,10
32552,10
41805,10
21081,10
27607,11
39221,12
27582,11
21182,10
52295,11
5199,8
19905,10
51296,7
4349,7
6531,11
29320,11
10005,11
16858,6
37528,9
16108,11
46519,10
30907,10
45493,10
51126,11
47005,11
17645,10
9595,11
34,11
50739,6
16047,8
25813,8
48321,11
31632,11
6249,10
4599,6
29647,11
50623,7
34487,10
11779,5
1364,8
7347,11
7503,10
14475,11
33011,10
40396,10
48071,11
53196,10
23715,7
8492,10
27595,10
45620,9
6492,11
43583,11
5066,7
44514,12
51812,8
384,10
51623,12
55879,7
48689,11
7348,11
12011,11
31821,11
2304,11
19736,10
52152,11
4443,10
8425,11
6815,10
25644,11
36696,5
21958,10
53696,11
23304,11
8958,11
47680,10
32369,10
16778,8
17840,8
33383,8
3563,11
56042,11
32253,10
27235,10
36509,11
3564,11
10692,11
22209,8
43163,11
45551,7
16298,10
2244,11
20596,11
29441,8
16742,8
10524,12
18451,11
36561,4
29393,11
16923,10
8320,8
52227,11
52195,11
17136,11
46761,11
50376,9
29484,10
20745,11
23783,10
13917,10
46702,10
29698,6
50309,11
19196,10
3338,11
28313,11
215,10
300,11
46850,10
11237,6
17032,7
1864,7
40177,8
40904,11
25831,10
37203,10
4655,11
29093,10
2603,11
22192,11
36783,10
42743,9
13783,12
15871,11
33249,10
29993,10
13132,12
1772,11
2047,7
14563,10
21110,11
31707,8
27864,11
35133,10
29717,7
6180,9
51821,11
53860,10
8596,10
42923,10
33340,10
17477,8
17425,13
38891,10
39815,10
40131,11
7481,11
37537,11
8212,10
13940,11
16541,7
6416,11
19730,10
1986,11
21488,10
8533,10
26056,8
29443,12
4786,11
48717,7
14155,8
20520,11
37003,12
20180,10
1119,10
17967,11
44687,11
26274,11
29251,10
48403,13
53897,10
47058,11
38054,11
23804,8
43221,8
50878,10
30579,11
51374,5
18320,5
39921,11
38411,11
35426,10
26965,10
24884,12
2160,10
41465,11
16916,10
4539,11
43361,10
24504,11
2399,12
39523,11
22784,10
8651,10
6228,8
5441,11
46885,10
35509,8
35551,11
2110,11
5440,11
18840,6
27699,11
16774,7
23311,11
27625,10
15905,11
25943,11
6634,10
9283,10
28462,10
20136,10
20572,10
10390,6
23999,8
18478,10
31318,11
5431,11
24936,11
1658,11
51230,11
42114,7
16112,11
50265,10
1225,10
38500,5
10981,8
21302,8
366,8
13782,12
22594,11
19845,11
47594,8
27638,11
54149,11
50102,7
6085,8
31227,11
28622,11
8486,10
2689,11
1264,10
53946,11
45169,11
52052,11
28590,12
5215,12
40113,11
5400,10
26080,8
38328,11
12430,11
33965,10
46880,10
51369,11
7120,11
38948,12
13030,11
33557,11
45746,11
55572,11
26497,8
51268,6
52482,11
701,6
17008,11
48470,11
52224,8
17861,8
13516,11
28399,8
23205,10
32391,5
45152,10
43224,12
18649,11
30514,12
52226,11
37119,10
24437,10
6639,11
38398,11
18050,10
17511,8
13408,11
42819,11
51507,6
50229,8
538,6
28977,7
7488,11
49285,12
17539,11
4086,10
14821,11
24542,10
44466,11
4631,8
31833,11
48056,10
32596,6
25832,10
34151,12
18442,10
55843,10
50592,8
36208,11
15067,11
37932,12
52643,10
36527,8
5888,11
4015,10
38657,11
46735,11
14280,12
15147,10
51094,11
23043,12
16098,11
18183,10
31803,11
28125,11
8187,6
18655,11
42940,10
5666,11
40992,11
32213,10
52057,11
49084,8
43530,11
7292,10
16262,8
33899,10
13407,10
31841,11
7747,8
43962,8
51667,10
16120,10
15699,10
53814,7
3598,11
7061,11
13628,10
22831,10
17101,8
46756,11
30010,10
34176,11
55382,8
3931,12
14757,10
37939,11
9399,10
20477,8
30962,11
30799,11
42116,10
49487,5
45127,10
46508,10
18798,13
9703,4
45051,11
26604,8
33492,10
32587,11
26267,12
25482,11
5179,7
26565,10
38698,7
51004,11
49494,11
44385,11
2995,11
4311,8
11865,7
36037,10
32271,11
18604,10
809,11
6739,11
50871,10
39593,11
43444,8
24123,11
27965,11
47659,8
38582,11
9401,11
16603,11
1968,10
13852,10
4656,11
23252,11
55221,10
33110,10
433,10
20040,10
24219,11
51914,10
24158,10
33731,11
7315,8
22746,10
34195,10
28068,10
30196,8
21,11
29099,10
34566,11
51636,11
18754,12
29500,12
6578,11
52087,10
9472,10
49678,11
3582,11
21774,11
36465,8
31335,11
4741,7
18233,11
49671,10
25269,11
6257,11
24142,8
51194,9
45535,11
35056,7
30563,11
37673,10
50532,11
6405,12
20254,10
36880,10
31720,12
15428,11
27303,6
43558,10
14040,8
18157,11
33147,10
37180,11
33755,11
43345,10
42890,11
6922,11
18760,11
51860,8
12233,12
53903,10
172,10
22514,10
20429,8
9549,11
17180,10
9252,10
14051,8
38918,11
16624,7
52788,11
49217,10
1173,10
31224,11
6094,7
45784,10
1122,7
46798,12
18227,10
2765,10
16423,5
34106,8
16070,10
32175,10
1441,8
22202,8
10004,10
332,11
493,11
38924,11
18773,8
49476,11
12196,8
53680,11
15197,11
4387,10
42869,10
27101,10
52908,5
43922,9
45605,11
47334,10
31496,12
42194,6
8114,8
17924,8
36471,7
40514,11
38147,10
31646,11
11127,11
19128,8
27888,10
34511,10
13859,11
39946,11
11249,5
27642,8
19623,11
50474,11
1477,8
12613,10
3737,11
19064,10
46653,8
35796,11
19957,11
26052,8
53003,10
46895,10
33057,11
51856,8
45587,11
16273,8
32388,6
5068,7
37297,10
33414,8
23271,9
15451,8
33705,10
28371,11
27461,11
53624,11
37123,6
32744,10
25334,11
45420,10
51207,11
11536,10
41012,11
14795,10
21432,7
4411,11
34755,10
39651,8
38431,11
2330,10
15037,11
36666,7
17191,2
38680,10
51965,10
51796,8
52008,10
37726,11
15333,9
25568,11
